Identificador,Fecha,Estado,Tipo,Cuenta,Beneficiario,Categoría,Importe,Divisa,Número,Notas
31654,01/09/2018,R,Deposit,Bancos Anteriores,Gomez Asesores,Sueldo,0.00,EUR,,
31655,01/09/2018,R,Withdrawal,Bancos Anteriores,Vodafone,Pago Servicios:Telefonia,0.00,EUR,,
31656,01/09/2018,R,Withdrawal,Bancos Anteriores,Caixa Bank,Seguros:Salud,0.00,EUR,,
31657,01/09/2018,R,Deposit,Bancos Anteriores,Ing Direct,Inversión:Ganancia cashback y promociones,0.00,EUR,,
31658,01/09/2018,R,Deposit,Bancos Anteriores,Freeware Soluciones Empresariales,Sueldo,0.00,EUR,,Nomina 18 08
31659,01/09/2018,R,Withdrawal,Bancos Anteriores,Mercadona,Comida:Supermercado y Otros,0.00,EUR,,
31660,01/09/2018,R,Withdrawal,Bancos Anteriores,Kiko,Belleza:Estetica,0.00,EUR,,
31661,01/09/2018,R,Withdrawal,Bancos Anteriores,Manolo,Hobbies:Buceo,0.00,EUR,,
31662,01/09/2018,R,Withdrawal,Bancos Anteriores,Hipoteca Caixa (Empresa),Prestamos:Intereses,0.00,EUR,,
31663,03/09/2018,R,Withdrawal,Bancos Anteriores,Ing Direct,Prestamos:Intereses,0.00,EUR,,
31664,03/09/2018,R,Withdrawal,Bancos Anteriores,Disa El Sobradillo,Coche:Gasolina,0.00,EUR,,
31665,03/09/2018,R,Deposit,Bancos Anteriores,Ing Direct,Inversión:Ganancia cashback y promociones,0.00,EUR,,
31666,03/09/2018,R,Withdrawal,Bancos Anteriores,Mercadona,Comida:Supermercado y Otros,0.00,EUR,,
31667,03/09/2018,R,Withdrawal,Bancos Anteriores,Data & Asociados,Pago Servicios:Basura,0.00,EUR,,
31668,03/09/2018,R,Withdrawal,Bancos Anteriores,Data & Asociados,Alquiler:Casa,0.00,EUR,,
31669,04/09/2018,R,Withdrawal,Bancos Anteriores,Casa Venezuela (Fran),Hobbies:Padel y Tenis,0.00,EUR,,
31670,04/09/2018,R,Withdrawal,Bancos Anteriores,Yoigo,Pago Servicios:Telefonia,0.00,EUR,,
31671,04/09/2018,R,Withdrawal,Bancos Anteriores,Parking Edif.  Rodadero,Alquiler:Garaje,0.00,EUR,,
31672,05/09/2018,R,Withdrawal,Bancos Anteriores,English101,Estudios:Matriculas,0.00,EUR,,
31673,05/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Comida:Supermercado y Otros,0.00,EUR,,
31674,05/09/2018,R,Withdrawal,Bancos Anteriores,Papa,Pago Servicios:TV Pay per View,0.00,EUR,,Pago Hipoteca
31680,06/09/2018,R,Withdrawal,Bancos Anteriores,Horno Del Pan,Comida:Supermercado y Otros,0.00,EUR,,
31681,07/09/2018,R,Withdrawal,Bancos Anteriores,Alcampo,Comida:Supermercado y Otros,0.00,EUR,,
31682,07/09/2018,R,Withdrawal,Bancos Anteriores,Stradivarius,Regalos,0.00,EUR,,
31683,07/09/2018,R,Withdrawal,Bancos Anteriores,Microsoft,Pago Servicios:Servicio de Almacenamiento,0.00,EUR,,
31684,08/09/2018,R,Withdrawal,Bancos Anteriores,Rosetta Stone,Estudios:Matriculas,0.00,EUR,,Curso Ingles
31685,08/09/2018,R,Withdrawal,Bancos Anteriores,Rosetta Stone,Estudios:Matriculas,0.00,EUR,,Curso Ingles
31686,08/09/2018,R,Withdrawal,Bancos Anteriores,Rosetta Stone,Estudios:Matriculas,0.00,EUR,,Curso Ingles
31687,08/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Comida:Bares y Restaurantes,0.00,EUR,,
31688,10/09/2018,R,Withdrawal,Bancos Anteriores,Mercadona,Comida:Supermercado y Otros,0.00,EUR,,
31689,11/09/2018,R,Withdrawal,Bancos Anteriores,Mercadona,Comida:Supermercado y Otros,0.00,EUR,,
31690,11/09/2018,R,Withdrawal,Bancos Anteriores,Mcdonald,Comida:Bares y Restaurantes,0.00,EUR,,
31691,11/09/2018,R,Withdrawal,Bancos Anteriores,Farmacia Antonio,Salud:Farmacia,0.00,EUR,,
31692,11/09/2018,R,Withdrawal,Bancos Anteriores,Hiperdino,Comida:Supermercado y Otros,0.00,EUR,,
31693,11/09/2018,R,Withdrawal,Bancos Anteriores,Media Markt,Casa:Decoracion y Otros,0.00,EUR,,Secadora Kympo
31694,11/09/2018,R,Withdrawal,Bancos Anteriores,Endesa,Pago Servicios:Luz,0.00,EUR,,
31695,14/09/2018,R,Withdrawal,Bancos Anteriores,Bet365,Ocio:Apuestas y Loterias,0.00,EUR,,
31696,14/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Gastos Varios,0.00,EUR,,
31697,14/09/2018,R,Withdrawal,Bancos Anteriores,Disa El Sobradillo,Coche:Gasolina,0.00,EUR,,
31698,14/09/2018,R,Withdrawal,Bancos Anteriores,Restaurante Garcia,Comida:Bares y Restaurantes,0.00,EUR,,
31699,14/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Comida:Bares y Restaurantes,0.00,EUR,,
31700,14/09/2018,R,Withdrawal,Bancos Anteriores,Disa El Sobradillo,Coche:Gasolina,0.00,EUR,,
31701,14/09/2018,R,Deposit,Bancos Anteriores,Ing Direct,Inversión:Ganancia cashback y promociones,0.00,EUR,,
31702,14/09/2018,R,Withdrawal,Bancos Anteriores,Mercadona,Comida:Supermercado y Otros,0.00,EUR,,
31703,15/09/2018,R,Withdrawal,Bancos Anteriores,Parking La Laguna,Coche:Parking,0.00,EUR,,
31704,15/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Comida:Bares y Restaurantes,0.00,EUR,,
31705,15/09/2018,R,Withdrawal,Bancos Anteriores,Alcampo,Comida:Supermercado y Otros,0.00,EUR,,
31706,15/09/2018,R,Withdrawal,Bancos Anteriores,Multiopticas Orotava,Salud,0.00,EUR,,
31707,15/09/2018,R,Withdrawal,Bancos Anteriores,Emmasa,Pago Servicios:Agua,0.00,EUR,,
31708,16/09/2018,R,Withdrawal,Bancos Anteriores,Isabel Martin (Fruteria Los majuelos),Comida:Supermercado y Otros,0.00,EUR,,
31709,17/09/2018,R,Withdrawal,Bancos Anteriores,Recambios Valladares,Coche:Reparaciones,0.00,EUR,,Limpia parabrisas delantero
31710,18/09/2018,R,Deposit,Bancos Anteriores,Desconocido,Ingresos Varios,0.00,EUR,,
31711,18/09/2018,R,Withdrawal,Bancos Anteriores,Cafeteria Il Divo,Comida:Bares y Restaurantes,0.00,EUR,,
31712,18/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Comida:Bares y Restaurantes,0.00,EUR,,
31713,18/09/2018,R,Withdrawal,Bancos Anteriores,Gorrita,Coche:Parking,0.00,EUR,,
31714,18/09/2018,R,Withdrawal,Bancos Anteriores,Mercadona,Comida:Supermercado y Otros,0.00,EUR,,
31715,19/09/2018,R,Withdrawal,Bancos Anteriores,Corsa Loan,Prestamos:Intereses,0.00,EUR,,
31716,19/09/2018,R,Withdrawal,Bancos Anteriores,Taller Tic Tac,Coche:Reparaciones,0.00,EUR,,Cambio aceite km 51.482
31717,19/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Comida:Supermercado y Otros,0.00,EUR,,
31718,19/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Comida:Supermercado y Otros,0.00,EUR,,
31720,20/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Comida:Supermercado y Otros,0.00,EUR,,
31721,20/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Comida:Supermercado y Otros,0.00,EUR,,
31722,20/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Comida:Bares y Restaurantes,0.00,EUR,,
31723,20/09/2018,R,Withdrawal,Bancos Anteriores,Mercadona,Comida:Supermercado y Otros,0.00,EUR,,
31724,20/09/2018,R,Withdrawal,Bancos Anteriores,Casa Santos,Comida:Bares y Restaurantes,0.00,EUR,,
31725,20/09/2018,R,Withdrawal,Bancos Anteriores,Gorrita,Coche:Parking,0.00,EUR,,
31726,20/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Comida:Bares y Restaurantes,0.00,EUR,,
31727,21/09/2018,R,Withdrawal,Bancos Anteriores,Melania,Regalos,0.00,EUR,,regalo de yanira
31728,21/09/2018,R,Withdrawal,Bancos Anteriores,Mercadona,Comida:Supermercado y Otros,0.00,EUR,,
31729,21/09/2018,R,Withdrawal,Bancos Anteriores,Ikea,Casa:Decoracion y Otros,0.00,EUR,,
31730,21/09/2018,R,Withdrawal,Bancos Anteriores,Ikea,Comida:Bares y Restaurantes,0.00,EUR,,
31731,21/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Comida:Bares y Restaurantes,0.00,EUR,,
31732,21/09/2018,R,Withdrawal,Bancos Anteriores,Pull And Bear,Belleza:Ropa,0.00,EUR,,
31733,23/09/2018,R,Withdrawal,Bancos Anteriores,El Cordero,Comida:Bares y Restaurantes,0.00,EUR,,
31734,23/09/2018,R,Withdrawal,Bancos Anteriores,Alexis,Regalos,0.00,EUR,,
31735,23/09/2018,R,Withdrawal,Bancos Anteriores,ISAAC,Comida:Bares y Restaurantes,0.00,EUR,,
31736,23/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Comida:Supermercado y Otros,0.00,EUR,,
31737,23/09/2018,R,Withdrawal,Bancos Anteriores,Isabel Martin (Fruteria Los majuelos),Comida:Supermercado y Otros,0.00,EUR,,
31738,25/09/2018,R,Withdrawal,Bancos Anteriores,CB Farmacia El Sobradillo,Salud:Farmacia,0.00,EUR,,
31739,25/09/2018,R,Withdrawal,Bancos Anteriores,Mercadona,Comida:Supermercado y Otros,0.00,EUR,,
31740,25/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Regalos,0.00,EUR,,Regalo Yani
31741,26/09/2018,R,Deposit,Bancos Anteriores,Ing Direct,Inversión:Ganancia cashback y promociones,0.00,EUR,,
31742,27/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Comida:Supermercado y Otros,0.00,EUR,,
31743,27/09/2018,R,Deposit,Bancos Anteriores,Ing Direct,Inversión:Ganancia cashback y promociones,0.00,EUR,,
31744,27/09/2018,R,Withdrawal,Bancos Anteriores,Mercadona,Comida:Supermercado y Otros,0.00,EUR,,
31745,27/09/2018,R,Withdrawal,Bancos Anteriores,Disa El Sobradillo,Coche:Gasolina,0.00,EUR,,
31746,28/09/2018,R,Withdrawal,Bancos Anteriores,El Negro Mario,Comida:Bares y Restaurantes,0.00,EUR,,
31747,29/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Comida:Bares y Restaurantes,0.00,EUR,,
31748,30/09/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Comida:Supermercado y Otros,0.00,EUR,,
31749,30/09/2018,R,Withdrawal,Bancos Anteriores,El Pollito,Comida:Bares y Restaurantes,0.00,EUR,,
31750,30/09/2018,R,Withdrawal,Bancos Anteriores,Disa El Sobradillo,Coche:Gasolina,0.00,EUR,,
31751,30/09/2018,R,Deposit,Bancos Anteriores,Ing Direct,Inversión:Ganancia cashback y promociones,0.00,EUR,,
31752,01/10/2018,R,Withdrawal,Bancos Anteriores,Vodafone,Pago Servicios:Telefonia,0.00,EUR,,
31753,01/10/2018,R,Deposit,Bancos Anteriores,Freeware Soluciones Empresariales,Sueldo,0.00,EUR,,Nomina 18 09
31754,01/10/2018,R,Deposit,Bancos Anteriores,Gomez Asesores,Sueldo,0.00,EUR,,
31755,01/10/2018,R,Withdrawal,Bancos Anteriores,Mercadona,Comida:Supermercado y Otros,0.00,EUR,,
31756,01/10/2018,R,Withdrawal,Bancos Anteriores,(Sin Definir),Gastos Varios,0.00,EUR,,
31757,01/10/2018,R,Withdrawal,Bancos Anteriores,Caixa Bank,Pagos:Comisiones,0.00,EUR,,
31758,01/10/2018,R,Deposit,Bancos Anteriores,Ing Direct,Inversión:Ganancia cashback y promociones,0.00,EUR,,
31759,01/10/2018,R,Withdrawal,Bancos Anteriores,Hipoteca Caixa (Empresa),Prestamos:Intereses,0.00,EUR,,
31760,03/10/2018,R,Withdrawal,Bancos Anteriores,Ing Direct,Prestamos:Intereses,0.00,EUR,,
31761,03/10/2018,R,Withdrawal,Bancos Anteriores,Parking Edif.  Rodadero,Alquiler:Garaje,0.00,EUR,,
31762,03/10/2018,R,Withdrawal,Bancos Anteriores,Mercadona,Comida:Supermercado y Otros,0.00,EUR,,
31763,03/10/2018,R,Withdrawal,Bancos Anteriores,Burger King,Comida:Bares y Restaurantes,0.00,EUR,,
31764,03/10/2018,R,Withdrawal,Bancos Anteriores,Peluqueria JOMA,Belleza,0.00,EUR,,
31765,03/10/2018,R,Withdrawal,Bancos Anteriores,Data & Asociados,Alquiler:Casa,0.00,EUR,,
31766,03/10/2018,R,Withdrawal,Bancos Anteriores,Data & Asociados,Pago Servicios:Basura,0.00,EUR,,
31767,04/10/2018,R,Withdrawal,Bancos Anteriores,Yoigo,Pago Servicios:Telefonia,0.00,EUR,,
31768,04/10/2018,R,Withdrawal,Bancos Anteriores,Casa Venezuela (Fran),Hobbies:Padel y Tenis,0.00,EUR,,
31769,05/10/2018,R,Withdrawal,Bancos Anteriores,(Sin Definir),Comida:Bares y Restaurantes,0.00,EUR,,
31770,05/10/2018,R,Withdrawal,Bancos Anteriores,Papa,Pago Servicios:TV Pay per View,0.00,EUR,,
31776,06/10/2018,R,Withdrawal,Bancos Anteriores,Isabel Martin (Fruteria Los majuelos),Comida:Supermercado y Otros,0.00,EUR,,
31777,06/10/2018,R,Withdrawal,Bancos Anteriores,carniceria los majuelos,Comida:Supermercado y Otros,0.00,EUR,,
31778,07/10/2018,R,Withdrawal,Bancos Anteriores,Restaurante El Fronton,Comida:Bares y Restaurantes,0.00,EUR,,
31779,09/10/2018,R,Withdrawal,Bancos Anteriores,El Obrador del Sobradillo,Comida:Supermercado y Otros,0.00,EUR,,
31780,09/10/2018,R,Withdrawal,Bancos Anteriores,Disa El Sobradillo,Casa:Decoracion y Otros,0.00,EUR,,Antiroturas
31781,09/10/2018,R,Withdrawal,Bancos Anteriores,Microsoft,Pago Servicios:Servicio de Almacenamiento,0.00,EUR,,
31782,10/10/2018,R,Deposit,Bancos Anteriores,Ing Direct,Inversión:Ganancia cashback y promociones,0.00,EUR,,
31783,10/10/2018,R,Withdrawal,Bancos Anteriores,Decathlon,Regalos,0.00,EUR,,
31784,11/10/2018,R,Withdrawal,Bancos Anteriores,AliExpress,Casa:Decoracion y Otros,0.00,EUR,,Ruedas Xiaomi Scooter
31785,11/10/2018,R,Withdrawal,Bancos Anteriores,Mr Smile,Comida:Bares y Restaurantes,0.00,EUR,,
31786,11/10/2018,R,Withdrawal,Bancos Anteriores,farmacia las canteras,Comida:Supermercado y Otros,0.00,EUR,,
31787,11/10/2018,R,Withdrawal,Bancos Anteriores,Endesa,Pago Servicios:Luz,0.00,EUR,,
31788,12/10/2018,R,Deposit,Bancos Anteriores,Ing Direct,Inversión:Ganancia cashback y promociones,0.00,EUR,,
31789,12/10/2018,R,Withdrawal,Bancos Anteriores,Disa El Sobradillo,Coche:Gasolina,0.00,EUR,,
31790,12/10/2018,R,Withdrawal,Bancos Anteriores,Fruteria Don Melon,Comida:Supermercado y Otros,0.00,EUR,,
31791,13/10/2018,R,Withdrawal,Bancos Anteriores,Desconocido,Ocio:Apuestas y Loterias,0.00,EUR,,
31792,13/10/2018,R,Withdrawal,Bancos Anteriores,La Huerta de Ana y Eva,Comida:Bares y Restaurantes,0.00,EUR,,
31793,13/10/2018,R,Withdrawal,Bancos Anteriores,Mercadona,Comida:Supermercado y Otros,0.00,EUR,,
31794,14/10/2018,R,Withdrawal,Bancos Anteriores,(Sin Definir),Gastos Varios,0.00,EUR,,
31795,15/10/2018,R,Withdrawal,Bancos Anteriores,CyA,Belleza:Ropa,0.00,EUR,,
31796,15/10/2018,R,Withdrawal,Bancos Anteriores,CyA,Belleza:Ropa,0.00,EUR,,
31797,15/10/2018,R,Withdrawal,Bancos Anteriores,Springfield,Belleza:Ropa,0.00,EUR,,
31798,15/10/2018,R,Withdrawal,Bancos Anteriores,Burger King,Comida:Bares y Restaurantes,0.00,EUR,,
31799,15/10/2018,R,Withdrawal,Bancos Anteriores,Emmasa,Pago Servicios:Agua,0.00,EUR,,
31800,16/10/2018,R,Withdrawal,Bancos Anteriores,El Obrador del Sobradillo,Comida:Supermercado y Otros,0.00,EUR,,
31801,17/10/2018,R,Withdrawal,Bancos Anteriores,Mercadona,Comida:Supermercado y Otros,0.00,EUR,,
31802,17/10/2018,R,Withdrawal,Bancos Anteriores,Muy Mucho,Casa:Decoracion y Otros,0.00,EUR,,
31803,18/10/2018,R,Withdrawal,Bancos Anteriores,Hiperdino,Comida:Supermercado y Otros,0.00,EUR,,
31804,19/10/2018,R,Withdrawal,Bancos Anteriores,Corsa Loan,Prestamos:Intereses,0.00,EUR,,
31805,19/10/2018,R,Withdrawal,Bancos Anteriores,Elsa,Gastos Varios,0.00,EUR,,Fotografias Embarazo Cris
31807,20/10/2018,R,Withdrawal,Bancos Anteriores,La Sifoneria,Comida:Bares y Restaurantes,0.00,EUR,,
31808,20/10/2018,R,Withdrawal,Bancos Anteriores,Mercadona,Comida:Supermercado y Otros,0.00,EUR,,
31809,20/10/2018,R,Withdrawal,Bancos Anteriores,Disa El Sobradillo,Coche:Gasolina,0.00,EUR,,
31810,20/10/2018,R,Deposit,Bancos Anteriores,Ing Direct,Inversión:Ganancia cashback y promociones,0.00,EUR,,
31811,22/10/2018,R,Withdrawal,Bancos Anteriores,Alcampo,Comida:Supermercado y Otros,0.00,EUR,,
31812,24/10/2018,R,Withdrawal,Bancos Anteriores,Bet365,Ocio:Apuestas y Loterias,0.00,EUR,,
31813,24/10/2018,R,Deposit,Bancos Anteriores,(Sin Definir),Venta de Articulos,0.00,EUR,,Venta casco cris
31814,25/10/2018,R,Withdrawal,Bancos Anteriores,Mcdonald,Comida:Bares y Restaurantes,0.00,EUR,,
31815,25/10/2018,R,Withdrawal,Bancos Anteriores,CB Farmacia El Sobradillo,Salud:Farmacia,0.00,EUR,,
31816,27/10/2018,R,Withdrawal,Bancos Anteriores,(Sin Definir),Comida:Supermercado y Otros,0.00,EUR,,
31817,27/10/2018,R,Withdrawal,Bancos Anteriores,Parking La Laguna,Coche:Parking,0.00,EUR,,
31818,27/10/2018,R,Withdrawal,Bancos Anteriores,almacenes herreros,Casa:Decoracion y Otros,0.00,EUR,,
31819,27/10/2018,R,Withdrawal,Bancos Anteriores,Mercadona,Comida:Supermercado y Otros,0.00,EUR,,
31820,30/10/2018,R,Withdrawal,Bancos Anteriores,El Obrador del Sobradillo,Comida:Supermercado y Otros,0.00,EUR,,
31821,30/10/2018,R,Withdrawal,Bancos Anteriores,Farmacia,Salud:Farmacia,0.00,EUR,,Pago en farmacia maria antonia santa cruz dees - Farmacia maria
31823,31/10/2018,R,Deposit,Bancos Anteriores,Cande,Familia,0.00,EUR,,
31824,31/10/2018,R,Withdrawal,Bancos Anteriores,Farmacia Maria An,Salud:Farmacia,0.00,EUR,,
31825,01/11/2018,R,Withdrawal,Bancos Anteriores,Vodafone,Pago Servicios:Telefonia,0.00,EUR,,
31826,01/11/2018,R,Deposit,Bancos Anteriores,Gomez Asesores,Sueldo,0.00,EUR,,Nomina recibida juan jose gomez perez - Juan jose gomez perez
31827,01/11/2018,R,Deposit,Bancos Anteriores,Freeware Soluciones Empresariales,Sueldo,0.00,EUR,,Nomina 18 10
31828,01/11/2018,R,Deposit,Bancos Anteriores,Ing Direct,Inversión:Ganancia cashback y promociones,0.00,EUR,,
31829,01/11/2018,R,Withdrawal,Bancos Anteriores,Hipoteca Caixa (Empresa),Prestamos:Intereses,0.00,EUR,,
31830,02/11/2018,R,Withdrawal,Bancos Anteriores,Ing Direct,Prestamos:Intereses,0.00,EUR,,
31831,02/11/2018,R,Withdrawal,Bancos Anteriores,(Sin Definir),Comida:Bares y Restaurantes,0.00,EUR,,
31832,02/11/2018,R,Withdrawal,Bancos Anteriores,Alcampo,Comida:Supermercado y Otros,0.00,EUR,,
31833,02/11/2018,R,Withdrawal,Bancos Anteriores,Chino,Casa:Decoracion y Otros,0.00,EUR,,
31834,02/11/2018,R,Withdrawal,Bancos Anteriores,Chino,Gastos Varios,0.00,EUR,,
31835,02/11/2018,R,Withdrawal,Bancos Anteriores,Mercadona,Comida:Supermercado y Otros,0.00,EUR,,
31836,02/11/2018,R,Withdrawal,Bancos Anteriores,(Sin Definir),Gastos Varios,0.00,EUR,,
31837,04/11/2018,R,Withdrawal,Bancos Anteriores,Bet365,Ocio:Apuestas y Loterias,0.00,EUR,,
31838,04/11/2018,R,Withdrawal,Bancos Anteriores,Isabel Martin (Fruteria Los majuelos),Comida:Supermercado y Otros,0.00,EUR,,
31839,05/11/2018,R,Withdrawal,Bancos Anteriores,El Obrador del Sobradillo,Comida:Supermercado y Otros,0.00,EUR,,
31840,05/11/2018,R,Withdrawal,Bancos Anteriores,Mister Smile,Comida:Bares y Restaurantes,0.00,EUR,,
31841,05/11/2018,R,Withdrawal,Bancos Anteriores,sestife,Comida:Bares y Restaurantes,0.00,EUR,,
31842,05/11/2018,R,Withdrawal,Bancos Anteriores,Papa,Pago Servicios:TV Pay per View,0.00,EUR,,
31843,05/11/2018,R,Withdrawal,Bancos Anteriores,Data & Asociados,Alquiler:Casa,0.00,EUR,,
31844,05/11/2018,R,Withdrawal,Bancos Anteriores,Data & Asociados,Pago Servicios:Basura,0.00,EUR,,
31850,06/11/2018,R,Withdrawal,Bancos Anteriores,Yoigo,Pago Servicios:Telefonia,0.00,EUR,,
31855,07/11/2018,R,Withdrawal,Bancos Anteriores,El Obrador del Sobradillo,Comida:Supermercado y Otros,0.00,EUR,,
31856,07/11/2018,R,Withdrawal,Bancos Anteriores,Melania,Regalos,0.00,EUR,,regalo mimi
31857,08/11/2018,R,Withdrawal,Bancos Anteriores,(Sin Definir),Comida:Supermercado y Otros,0.00,EUR,,
31858,08/11/2018,R,Withdrawal,Bancos Anteriores,Cafeteria Hospital,Comida:Bares y Restaurantes,0.00,EUR,,
31859,08/11/2018,R,Withdrawal,Bancos Anteriores,Microsoft,Pago Servicios:Servicio de Almacenamiento,0.00,EUR,,
31860,09/11/2018,R,Withdrawal,Bancos Anteriores,Cafeteria Hospital,Comida:Bares y Restaurantes,0.00,EUR,,
31861,09/11/2018,R,Withdrawal,Bancos Anteriores,Gorrita,Coche:Parking,0.00,EUR,,
31862,09/11/2018,R,Withdrawal,Bancos Anteriores,(Sin Definir),Comida:Supermercado y Otros,0.00,EUR,,
31863,09/11/2018,R,Withdrawal,Bancos Anteriores,Cafeteria Hospital,Comida:Bares y Restaurantes,0.00,EUR,,
31864,09/11/2018,R,Withdrawal,Bancos Anteriores,Mcdonald,Comida:Bares y Restaurantes,0.00,EUR,,
31865,09/11/2018,R,Withdrawal,Bancos Anteriores,farmacia fdo rguez,Salud:Farmacia,0.00,EUR,,
31866,10/11/2018,R,Withdrawal,Bancos Anteriores,Cafeteria Hospital,Comida:Bares y Restaurantes,0.00,EUR,,
31867,10/11/2018,R,Withdrawal,Bancos Anteriores,Gorrita,Coche:Parking,0.00,EUR,,
31868,10/11/2018,R,Deposit,Bancos Anteriores,(Sin Definir),Venta de Articulos,0.00,EUR,,Venta chaqueta moto mia
31869,10/11/2018,R,Withdrawal,Bancos Anteriores,Cafeteria Hospital,Comida:Bares y Restaurantes,0.00,EUR,,
31870,10/11/2018,R,Withdrawal,Bancos Anteriores,Gorrita,Coche:Parking,0.00,EUR,,
31871,10/11/2018,R,Withdrawal,Bancos Anteriores,(Sin Definir),Comida:Supermercado y Otros,0.00,EUR,,
31872,10/11/2018,R,Withdrawal,Bancos Anteriores,Cafeteria Hospital,Comida:Bares y Restaurantes,0.00,EUR,,
31873,10/11/2018,R,Withdrawal,Bancos Anteriores,Mcdonald,Comida:Bares y Restaurantes,0.00,EUR,,
31874,11/11/2018,R,Withdrawal,Bancos Anteriores,Gorrita,Coche:Parking,0.00,EUR,,
31875,11/11/2018,R,Withdrawal,Bancos Anteriores,Cafeteria Hospital,Comida:Bares y Restaurantes,0.00,EUR,,
31876,11/11/2018,R,Withdrawal,Bancos Anteriores,Cafeteria Hospital,Comida:Bares y Restaurantes,0.00,EUR,,
31877,12/11/2018,R,Withdrawal,Bancos Anteriores,Gorrita,Coche:Parking,0.00,EUR,,
31878,12/11/2018,R,Withdrawal,Bancos Anteriores,Cafeteria Hospital,Comida:Bares y Restaurantes,0.00,EUR,,
31879,12/11/2018,R,Withdrawal,Bancos Anteriores,Cafeteria Hospital,Comida:Bares y Restaurantes,0.00,EUR,,
31880,13/11/2018,R,Withdrawal,Bancos Anteriores,Gorrita,Coche:Parking,0.00,EUR,,
31881,13/11/2018,R,Withdrawal,Bancos Anteriores,(Sin Definir),Salud:Farmacia,0.00,EUR,,
31882,13/11/2018,R,Withdrawal,Bancos Anteriores,Cafeteria Hospital,Comida:Bares y Restaurantes,0.00,EUR,,
31883,13/11/2018,R,Withdrawal,Bancos Anteriores,farmacia fdo rguez,Salud:Farmacia,0.00,EUR,,
31884,13/11/2018,R,Withdrawal,Bancos Anteriores,ilunion,Comida:Supermercado y Otros,0.00,EUR,,
31885,14/11/2018,R,Withdrawal,Bancos Anteriores,ilunion,Comida:Supermercado y Otros,0.00,EUR,,
31886,14/11/2018,R,Withdrawal,Bancos Anteriores,Parking Edif.  Rodadero,Alquiler:Garaje,0.00,EUR,,
31887,14/11/2018,R,Withdrawal,Bancos Anteriores,Parking Edif.  Rodadero,Alquiler:Garaje,0.00,EUR,,
31888,14/11/2018,R,Withdrawal,Bancos Anteriores,Mapfre,Seguros:Coche,0.00,EUR,,
31889,14/11/2018,R,Withdrawal,Bancos Anteriores,AliExpress,Belleza:Ropa,0.00,EUR,,
31890,15/11/2018,R,Withdrawal,Bancos Anteriores,ilunion,Comida:Supermercado y Otros,0.00,EUR,,
31891,15/11/2018,R,Withdrawal,Bancos Anteriores,Gorrita,Coche:Parking,0.00,EUR,,
31892,15/11/2018,R,Withdrawal,Bancos Anteriores,Horno Del Pan,Comida:Supermercado y Otros,0.00,EUR,,
31893,15/11/2018,R,Withdrawal,Bancos Anteriores,Parking Intercambiador,Coche:Parking,0.00,EUR,,
31894,15/11/2018,R,Withdrawal,Bancos Anteriores,Cafeteria Hospital,Comida:Bares y Restaurantes,0.00,EUR,,
31895,15/11/2018,R,Withdrawal,Bancos Anteriores,farmacia miguel r,Salud:Farmacia,0.00,EUR,,
31896,15/11/2018,R,Withdrawal,Bancos Anteriores,Emmasa,Pago Servicios:Agua,0.00,EUR,,
31897,15/11/2018,R,Withdrawal,Bancos Anteriores,Endesa,Pago Servicios:Luz,0.00,EUR,,
31898,16/11/2018,R,Withdrawal,Bancos Anteriores,Gorrita,Coche:Parking,0.00,EUR,,
31899,16/11/2018,R,Withdrawal,Bancos Anteriores,Gorrita,Ocio:Apuestas y Loterias,0.00,EUR,,
31900,16/11/2018,R,Withdrawal,Bancos Anteriores,Horno Del Pan,Comida:Supermercado y Otros,0.00,EUR,,
31901,16/11/2018,R,Withdrawal,Bancos Anteriores,ilunion,Comida:Supermercado y Otros,0.00,EUR,,
31902,16/11/2018,R,Withdrawal,Bancos Anteriores,Cafeteria Hospital,Comida:Bares y Restaurantes,0.00,EUR,,
31903,17/11/2018,R,Withdrawal,Bancos Anteriores,Gorrita,Coche:Parking,0.00,EUR,,
31904,17/11/2018,R,Withdrawal,Bancos Anteriores,ilunion,Comida:Supermercado y Otros,0.00,EUR,,
31905,17/11/2018,R,Withdrawal,Bancos Anteriores,ilunion,Comida:Supermercado y Otros,0.00,EUR,,
31906,17/11/2018,R,Withdrawal,Bancos Anteriores,Cafeteria Hospital,Comida:Bares y Restaurantes,0.00,EUR,,
